City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Alofi,NU,79.83,scattered clouds,-19.0595,-169.9187,Taloa Heights
4,Sao Filipe,CV,78.89,overcast clouds,14.8961,-24.4956,Hotel Xaguate
6,Hobyo,SO,78.8,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
8,Mamallapuram,IN,77.05,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
13,Kassala,SD,75.38,clear sky,15.451,36.4,Amassi Hotel Gash
19,Villa Bruzual,VE,84.45,broken clouds,9.3328,-69.1208,hotel italia
21,Mar Del Plata,AR,84.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
22,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
24,San Patricio,US,78.67,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
28,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
29,Bathsheba,BB,78.66,scattered clouds,13.2167,-59.5167,Atlantis Hotel
33,Cabo San Lucas,MX,82.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
35,Purbalingga,ID,76.42,overcast clouds,-7.3881,109.3639,Hotel Kencana
40,Beruwala,LK,77.86,overcast clouds,6.4788,79.9828,The Palms Hotel
41,Vaini,TO,79.79,clear sky,-21.2,-175.2,Keleti Beach Resort
52,Mahebourg,MU,76.24,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
55,Mogadishu,SO,78.94,scattered clouds,2.0371,45.3438,Hotel Juba
64,Kapaa,US,83.19,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,Necochea,AR,77.5,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
72,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
75,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
78,Nabire,ID,79.2,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
81,Aitape,PG,82.13,overcast clouds,-3.1374,142.3475,
82,Cayenne,GF,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
86,Urucurituba,BR,77.61,moderate rain,-2.6833,-57.6667,
87,Atuona,PF,79.05,clear sky,-9.8,-139.0333,Villa Enata
89,Luwuk,ID,81.32,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
90,Meulaboh,ID,75.31,light rain,4.1363,96.1285,Kost Pria
91,Kavieng,PG,82.33,moderate rain,-2.5744,150.7967,Nusa Island Retreat
93,Lethem,GY,82.54,overcast clouds,3.3803,-59.7968,Savannah Inn
98,Aguililla,MX,78.06,scattered clouds,18.7333,-102.7333,
102,Tabou,CI,79.38,light rain,4.423,-7.3528,hotêl doufoulougou
110,Butaritari,KI,81.57,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
113,Gusau,NG,77.41,clear sky,12.1628,6.6614,GUEST INN
116,Bilma,NE,77.13,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
123,Maryborough,AU,80.6,overcast clouds,-25.5333,152.7,Blue Shades Motel
125,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
126,Muli,MV,81.07,broken clouds,2.9167,73.5667,Medhufushi Island Resort
129,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
130,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
137,Kahului,US,88.86,few clouds,20.8947,-156.47,Maui Seaside Hotel
140,Sao Benedito Do Rio Preto,BR,79.38,scattered clouds,-3.3336,-43.5283,João de Barro Hotel
145,Panguna,PG,76.48,overcast clouds,-6.3164,155.4848,
155,Maragogi,BR,78.82,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
157,Plaridel,PH,80.85,moderate rain,14.8872,120.8572,St. Agatha Resort
164,Aquiraz,BR,85.21,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
174,Hithadhoo,MV,79.45,overcast clouds,-0.6,73.0833,Scoop Guest House
182,Biak,ID,79.2,broken clouds,-0.9131,122.8766,Penginapan Kim
187,Byron Bay,AU,76.05,moderate rain,-28.65,153.6167,Backpackers Inn on the Beach
188,Lorengau,PG,84.92,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
191,Sola,VU,80.38,overcast clouds,-13.8833,167.55,Leumerus Bungalows
193,Riberalta,BO,75.45,broken clouds,-10.9833,-66.1,Hotel Colonial
196,Waingapu,ID,82.71,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
201,Pinheiro,BR,76.82,scattered clouds,-2.5214,-45.0825,Solares Hotel
206,Fare,PF,79.92,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
214,Astorga,BR,79.2,broken clouds,-23.2325,-51.6656,Rancho Jads
216,Namatanai,PG,78.21,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
219,Pagudpud,PH,77.45,few clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
223,Edd,ER,81.81,clear sky,13.9297,41.6925,
229,Quatre Cocos,MU,76.08,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
236,Wanning,CN,75.54,broken clouds,18.8003,110.3967,Paradise Hotel
237,Ocos,GT,85.32,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
242,Mana,GF,78.28,scattered clouds,5.6592,-53.7767,LE SAMANA
246,Dakar,SN,77.88,broken clouds,14.6937,-17.4441,Redface Studios Meublés
251,Labuhan,ID,78.96,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
252,Soyo,AO,78.06,overcast clouds,-6.1349,12.3689,Hotel Mpampa
257,Faanui,PF,80.55,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
258,Kidal,ML,76.78,clear sky,18.4411,1.4078,
260,Maceio,BR,79.74,few clouds,-9.6658,-35.7353,Poutur Pousada
262,Tucuman,AR,76.98,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
267,Carutapera,BR,79.43,clear sky,-1.195,-46.02,Lidera
272,Ahuimanu,US,85.71,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
274,Adrar,MR,79.61,overcast clouds,20.5022,-10.0711,
280,Mitsamiouli,KM,78.94,light rain,-11.3847,43.2844,Foyer ADM
291,Davila,PH,78.82,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
298,Nueva Italia,PY,78.03,clear sky,-25.6167,-57.5,Quinta Che Jazmín
300,San Jose De Guanipa,VE,81.91,overcast clouds,8.8872,-64.1651,HOTEL 283 SUITES
302,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
303,Viedma,AR,77.32,clear sky,-40.8135,-62.9967,Hotel Cristal
304,Bengkulu,ID,75.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
310,Sinnamary,GF,79.16,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
312,Katherine,AU,88.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
315,Bapatla,IN,76.96,broken clouds,15.9,80.4667,Kumar Hotel
316,Souillac,MU,76.35,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
318,Atambua,ID,79.72,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
319,Puerto Escondido,MX,83.23,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
324,Ramos Arizpe,MX,77.29,clear sky,25.55,-100.9667,Mario's Inn
329,Shirpur,IN,76.21,broken clouds,21.35,74.8833,Hotel Atithi
330,Raga,SS,77.63,few clouds,8.4596,25.678,
332,Boyolangu,ID,76.75,overcast clouds,-8.1181,111.8935,Yos ega cv
333,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
335,Kedougou,SN,79.9,clear sky,12.5579,-12.1743,Relais de Kédougou
342,Luganville,VU,82.47,light rain,-15.5333,167.1667,The Espiritu Hotel
343,Kimbe,PG,84.74,light rain,-5.5502,150.1429,Kimbe Bay Hotel
349,Sao Jose De Ribamar,BR,82.78,clear sky,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
351,Robertsport,LR,82.11,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
352,Tiarei,PF,86.02,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
358,Road Town,VG,80.69,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
361,Pandan,PH,80.64,scattered clouds,14.0453,124.1694,Bonifacio Lodge
362,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
363,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
365,Santiago Del Estero,AR,83.46,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
366,San Juan De Flores,HN,78.48,overcast clouds,14.2667,-87.0333,ASODUTCAN
369,Santa Marta,CO,79.68,overcast clouds,11.2408,-74.199,Casa de Isabella
373,Madang,PG,80.1,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
377,La Palma,US,76.5,haze,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
378,Lompoc,US,76.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
384,Tequila,MX,84.18,clear sky,20.8833,-103.8333,Hotel La Rienda Mision Tequillan
390,Kattivakkam,IN,77.09,broken clouds,13.2167,80.3167,Euronova Freezer
393,Poum,NC,76.59,clear sky,-20.2333,164.0167,Gîte kajeon
394,Svay Rieng,KH,76.24,broken clouds,11.0879,105.7993,Apsara guesthouse
395,Nago,JP,75.63,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
404,Luba,GQ,79.88,scattered clouds,3.4568,8.5547,
420,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
421,Saint-Georges,GD,78.98,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
