City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,71.06,75,53,14.18,broken clouds
1,Bluff,NZ,-46.6,168.3333,56.8,78,100,6.64,light rain
2,Alofi,NU,-19.0595,-169.9187,79.83,77,43,14.54,scattered clouds
3,Mataura,NZ,-46.1927,168.8643,64.13,53,100,3.38,moderate rain
4,Sao Filipe,CV,14.8961,-24.4956,78.89,79,100,5.01,overcast clouds
5,Constitucion,CL,-35.3333,-72.4167,59.43,79,27,11.07,scattered clouds
6,Hobyo,SO,5.3505,48.5268,78.8,70,8,10.63,clear sky
7,Port Elizabeth,ZA,-33.918,25.5701,65.1,79,96,16.04,overcast clouds
8,Mamallapuram,IN,12.6264,80.1722,77.05,85,49,5.21,scattered clouds
9,Oktyabrskoye,RU,43.0645,44.7417,32.14,100,99,4.47,mist
10,Spearfish,US,44.4908,-103.8594,44.82,76,90,0.0,overcast clouds
11,Yellowknife,CA,62.456,-114.3525,-1.44,88,51,5.99,broken clouds
12,Kruisfontein,ZA,-34.0033,24.7314,62.89,82,98,10.6,overcast clouds
13,Kassala,SD,15.451,36.4,75.38,19,0,11.1,clear sky
14,Busselton,AU,-33.65,115.3333,62.04,53,76,7.67,broken clouds
15,Waipawa,NZ,-41.4122,175.5153,59.04,64,100,8.03,moderate rain
16,Vila Velha,BR,-20.3297,-40.2925,70.95,93,100,11.99,overcast clouds
17,Huarmey,PE,-10.0681,-78.1522,66.56,83,92,10.04,overcast clouds
18,Coihaique,CL,-45.5752,-72.0662,52.25,97,89,10.65,moderate rain
19,Villa Bruzual,VE,9.3328,-69.1208,84.45,54,69,7.67,broken clouds
20,Ouadda,CF,8.0777,22.4007,72.09,32,26,5.95,scattered clouds
21,Mar Del Plata,AR,-38.0023,-57.5575,84.22,28,0,13.8,clear sky
22,Grand Gaube,MU,-20.0064,57.6608,75.6,71,1,1.99,clear sky
23,Chuy,UY,-33.6971,-53.4616,62.62,76,0,6.73,clear sky
24,San Patricio,US,28.017,-97.5169,78.67,65,67,12.88,broken clouds
25,Margate,GB,51.3813,1.3862,50.04,81,68,1.99,broken clouds
26,Port Lincoln,AU,-34.7333,135.8667,58.6,62,10,13.78,clear sky
27,Tateyama,JP,34.9833,139.8667,56.1,72,13,8.46,few clouds
28,Avarua,CK,-21.2078,-159.775,80.65,69,40,16.11,scattered clouds
29,Bathsheba,BB,13.2167,-59.5167,78.66,74,30,12.75,scattered clouds
30,Albany,US,42.6001,-73.9662,40.08,58,100,1.01,overcast clouds
31,Esperance,AU,-33.8667,121.9,64.44,65,0,18.3,clear sky
32,Hammerfest,NO,70.6634,23.6821,28.85,64,40,13.8,snow
33,Cabo San Lucas,MX,22.8909,-109.9124,82.62,59,12,8.99,few clouds
34,Jamestown,US,42.097,-79.2353,41.72,36,100,4.0,overcast clouds
35,Purbalingga,ID,-7.3881,109.3639,76.42,94,92,1.63,overcast clouds
36,Rikitea,PF,-23.1203,-134.9692,73.74,59,57,4.16,broken clouds
37,Oktyabrskiy,RU,54.4815,53.471,32.43,95,100,20.67,light snow
38,Farafangana,MG,-22.8167,47.8333,73.99,88,10,8.46,clear sky
39,Ardahan,TR,41.1087,42.7022,33.22,80,90,4.27,overcast clouds
40,Beruwala,LK,6.4788,79.9828,77.86,77,96,6.24,overcast clouds
41,Vaini,TO,-21.2,-175.2,79.79,79,9,7.36,clear sky
42,Gomel,BY,52.4345,30.9754,38.8,84,67,12.15,broken clouds
43,Kropotkin,RU,45.4375,40.5756,50.18,83,100,21.65,overcast clouds
44,Kodiak,US,57.79,-152.4072,35.11,80,90,19.57,light snow
45,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,74,90,19.1,overcast clouds
