City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Deputatskiy,69.3,139.9,-6.48,99,100,2.82,RU,2021-11-20 19:17:15
1,Wharton,29.3116,-96.1027,78.78,60,75,11.5,US,2021-11-20 19:15:28
2,Port Hedland,-20.3167,118.5667,80.65,74,100,9.22,AU,2021-11-20 19:17:15
3,Arraial Do Cabo,-22.9661,-42.0278,73.36,78,75,14.97,BR,2021-11-20 19:17:15
4,Pisco,-13.7,-76.2167,71.65,73,20,6.91,PE,2021-11-20 19:17:16
5,Port Alfred,-33.5906,26.891,64.33,71,100,15.86,ZA,2021-11-20 19:17:16
6,Hobart,-42.8794,147.3294,51.12,91,20,8.05,AU,2021-11-20 19:17:16
7,Albany,42.6001,-73.9662,45.57,55,100,1.99,US,2021-11-20 19:16:30
8,Ponta Do Sol,32.6667,-17.1,66.83,71,100,2.42,PT,2021-11-20 19:17:17
9,Muriti,-1.9833,32.9167,75.04,72,83,16.2,TZ,2021-11-20 19:17:17
10,Asau,46.4333,26.4,44.96,61,40,6.17,RO,2021-11-20 19:17:17
11,Omsukchan,62.5333,155.8,-4.54,100,99,3.2,RU,2021-11-20 19:17:18
12,Kaitangata,-46.2817,169.8464,52.52,95,100,0.34,NZ,2021-11-20 19:17:18
13,Laohekou,32.3858,111.6678,55.29,80,100,8.01,CN,2021-11-20 19:17:18
14,Hilo,19.7297,-155.09,81.25,74,20,4.61,US,2021-11-20 19:17:18
15,Itoman,26.1247,127.6694,73.78,78,75,9.22,JP,2021-11-20 19:17:19
16,Ushuaia,-54.8,-68.3,38.86,70,75,36.82,AR,2021-11-20 19:17:19
17,Akyab,20.15,92.9,77.05,72,23,9.98,MM,2021-11-20 19:17:20
18,Nyurba,63.2842,118.3319,-20.72,100,90,1.41,RU,2021-11-20 19:17:20
19,Kapaa,22.0752,-159.319,80.92,78,40,1.01,US,2021-11-20 19:17:20
20,Ahipara,-35.1667,173.1667,62.37,89,15,5.82,NZ,2021-11-20 19:17:21
21,Sitka,57.0531,-135.33,33.69,80,90,9.22,US,2021-11-20 19:17:21
22,Guerrero Negro,27.9769,-114.0611,69.64,62,100,9.06,MX,2021-11-20 19:17:21
23,Vaini,-21.2,-175.2,80.76,89,20,4.61,TO,2021-11-20 19:17:22
24,Beboto,8.2668,16.939,80.74,28,9,1.07,TD,2021-11-20 19:17:22
25,Muli,2.9167,73.5667,81.43,77,100,17.78,MV,2021-11-20 19:17:22
26,Saint-Philippe,-21.3585,55.7679,74.75,78,40,9.08,RE,2021-11-20 19:17:23
27,Buin,-33.7333,-70.75,89.06,17,0,12.82,CL,2021-11-20 19:17:23
28,Busselton,-33.65,115.3333,59.04,71,80,8.93,AU,2021-11-20 19:13:00
29,Qaanaaq,77.484,-69.3632,-5.87,70,0,6.89,GL,2021-11-20 19:17:23
30,Jumla,29.2747,82.1838,43.0,69,0,3.4,NP,2021-11-20 19:15:04
31,Mataura,-46.1927,168.8643,52.2,98,100,3.31,NZ,2021-11-20 19:17:24
32,Punta Arenas,-53.15,-70.9167,46.51,46,40,42.57,CL,2021-11-20 19:17:24
33,Meridian,43.6121,-116.3915,46.15,72,1,1.01,US,2021-11-20 19:15:59
34,Sauce,-34.6469,-56.0628,80.53,25,0,7.27,UY,2021-11-20 19:17:25
35,Athabasca,54.7169,-113.2854,11.89,85,86,11.18,CA,2021-11-20 19:16:15
36,Kodiak,57.79,-152.4072,36.91,60,90,32.21,US,2021-11-20 19:17:25
37,Plettenberg Bay,-34.0527,23.3716,62.46,79,95,16.26,ZA,2021-11-20 19:17:25
38,Biltine,14.5333,20.9167,81.37,16,0,13.58,TD,2021-11-20 19:17:26
39,Ivankiv,50.9386,29.8943,43.03,70,52,13.6,UA,2021-11-20 19:17:26
40,Hovd,48.0056,91.6419,6.8,38,0,1.48,MN,2021-11-20 19:17:27
41,Shambu,9.5667,37.1,53.29,71,90,1.32,ET,2021-11-20 19:17:27
42,Alibag,18.6411,72.8792,86.07,83,100,5.84,IN,2021-11-20 19:17:27
43,Anadyr,64.75,177.4833,-14.01,83,20,11.01,RU,2021-11-20 19:17:27
44,Ternate,0.8,127.4,80.98,78,11,2.77,ID,2021-11-20 19:17:28
45,Sangar,63.9242,127.4739,-18.62,100,96,1.57,RU,2021-11-20 19:17:28
46,Butaritari,3.0707,172.7902,82.17,66,60,16.11,KI,2021-11-20 19:17:29
47,Dikson,73.5069,80.5464,-8.34,87,53,15.7,RU,2021-11-20 19:17:29
48,Rikitea,-23.1203,-134.9692,73.15,64,100,7.96,PF,2021-11-20 19:18:29
49,Ostrovnoy,68.0531,39.5131,31.78,83,100,8.12,RU,2021-11-20 19:18:30
50,Jamestown,42.097,-79.2353,43.3,45,1,16.11,US,2021-11-20 19:17:56
51,Laguna,38.421,-121.4238,67.87,71,1,3.0,US,2021-11-20 19:18:30
52,Havoysund,70.9963,24.6622,29.28,63,100,24.2,NO,2021-11-20 19:18:30
53,Cape Town,-33.9258,18.4232,68.27,60,20,13.8,ZA,2021-11-20 19:18:31
54,Aksarka,66.5606,67.7975,11.48,95,100,9.69,RU,2021-11-20 19:18:31
55,Westport,41.1415,-73.3579,48.06,41,1,1.01,US,2021-11-20 19:13:38
56,Funadhoo,6.15,73.2667,81.95,68,19,17.78,MV,2021-11-20 19:18:31
57,Erzin,36.9559,36.2,56.12,72,100,5.75,TR,2021-11-20 19:18:32
58,Arona,28.0996,-16.681,62.82,71,40,1.99,ES,2021-11-20 19:18:32
59,Isangel,-19.55,169.2667,75.31,83,75,0.0,VU,2021-11-20 19:18:32
60,Sisimiut,66.9395,-53.6735,23.83,96,100,4.25,GL,2021-11-20 19:18:33
61,Ilulissat,69.2167,-51.1,23.02,74,75,5.75,GL,2021-11-20 19:18:33
62,Russell,32.3502,-85.1999,63.68,41,1,4.61,US,2021-11-20 19:15:26
63,Thompson,55.7435,-97.8558,19.56,79,90,18.41,CA,2021-11-20 19:18:33
64,Vung Tau,10.346,107.0843,78.76,87,94,9.64,VN,2021-11-20 19:18:34
65,Kuah,6.3265,99.8432,78.78,94,20,1.14,MY,2021-11-20 19:18:34
66,Emerald,-23.5333,148.1667,66.34,66,100,9.33,AU,2021-11-20 19:18:34
67,Georgetown,5.4112,100.3354,79.95,90,20,2.3,MY,2021-11-20 19:15:33
